data;ano;mes;nome_mes;trimestre;dia;dia_semana;fim_de_semana;ano_mes
2025-11-05;2025;11;Novembro;4;5;Quarta-feira;False;2025-11
2025-11-06;2025;11;Novembro;4;6;Quinta-feira;False;2025-11
2025-11-07;2025;11;Novembro;4;7;Sexta-feira;False;2025-11
2025-11-08;2025;11;Novembro;4;8;Sábado;True;2025-11
2025-11-09;2025;11;Novembro;4;9;Domingo;True;2025-11
2025-11-10;2025;11;Novembro;4;10;Segunda-feira;False;2025-11
2025-11-11;2025;11;Novembro;4;11;Terça-feira;False;2025-11
2025-11-12;2025;11;Novembro;4;12;Quarta-feira;False;2025-11
2025-11-13;2025;11;Novembro;4;13;Quinta-feira;False;2025-11
2025-11-14;2025;11;Novembro;4;14;Sexta-feira;False;2025-11
2025-11-15;2025;11;Novembro;4;15;Sábado;True;2025-11
2025-11-16;2025;11;Novembro;4;16;Domingo;True;2025-11
2025-11-17;2025;11;Novembro;4;17;Segunda-feira;False;2025-11
2025-11-18;2025;11;Novembro;4;18;Terça-feira;False;2025-11
2025-11-19;2025;11;Novembro;4;19;Quarta-feira;False;2025-11
2025-11-20;2025;11;Novembro;4;20;Quinta-feira;False;2025-11
2025-11-21;2025;11;Novembro;4;21;Sexta-feira;False;2025-11
2025-11-22;2025;11;Novembro;4;22;Sábado;True;2025-11
2025-11-23;2025;11;Novembro;4;23;Domingo;True;2025-11
2025-11-24;2025;11;Novembro;4;24;Segunda-feira;False;2025-11
2025-11-25;2025;11;Novembro;4;25;Terça-feira;False;2025-11
2025-11-26;2025;11;Novembro;4;26;Quarta-feira;False;2025-11
2025-11-27;2025;11;Novembro;4;27;Quinta-feira;False;2025-11
2025-11-28;2025;11;Novembro;4;28;Sexta-feira;False;2025-11
2025-11-29;2025;11;Novembro;4;29;Sábado;True;2025-11
2025-11-30;2025;11;Novembro;4;30;Domingo;True;2025-11
2025-12-01;2025;12;Dezembro;4;1;Segunda-feira;False;2025-12
2025-12-02;2025;12;Dezembro;4;2;Terça-feira;False;2025-12
2025-12-03;2025;12;Dezembro;4;3;Quarta-feira;False;2025-12
2025-12-04;2025;12;Dezembro;4;4;Quinta-feira;False;2025-12
2025-12-05;2025;12;Dezembro;4;5;Sexta-feira;False;2025-12
2025-12-06;2025;12;Dezembro;4;6;Sábado;True;2025-12
2025-12-07;2025;12;Dezembro;4;7;Domingo;True;2025-12
2025-12-08;2025;12;Dezembro;4;8;Segunda-feira;False;2025-12
2025-12-09;2025;12;Dezembro;4;9;Terça-feira;False;2025-12
2025-12-10;2025;12;Dezembro;4;10;Quarta-feira;False;2025-12
2025-12-11;2025;12;Dezembro;4;11;Quinta-feira;False;2025-12
2025-12-12;2025;12;Dezembro;4;12;Sexta-feira;False;2025-12
2025-12-13;2025;12;Dezembro;4;13;Sábado;True;2025-12
2025-12-14;2025;12;Dezembro;4;14;Domingo;True;2025-12
2025-12-15;2025;12;Dezembro;4;15;Segunda-feira;False;2025-12
2025-12-16;2025;12;Dezembro;4;16;Terça-feira;False;2025-12
2025-12-17;2025;12;Dezembro;4;17;Quarta-feira;False;2025-12
2025-12-18;2025;12;Dezembro;4;18;Quinta-feira;False;2025-12
